name,folder,date,bytes,isdir,datenum,maxFreq,meanFreq,minFreq,ctrlength,tempres,veclength
IG_18.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1333,0,737967.657685185,31781.25,22759.375,15234.375,0.41,0.000666666666666667,615
IG_180.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,725,0,737967.657708333,20812.5,13753.8340336134,9000,0.132222222222222,0.000111111111111111,1190
IG_181.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1292,0,737967.657685185,33187.5,20927.0050315228,6187.5,0.458222222222222,0.000111111111111111,4124
IG_182.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1105,0,737967.657685185,46125,16013.2519197952,7312.5,0.130222222222222,0.000111111111111111,1172
IG_183.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,641,0,737967.657685185,18562.5,12833.835078534,8437.5,0.106111111111111,0.000111111111111111,955
IG_184.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,949,0,737967.657685185,42187.5,32557.876394052,22218.75,0.149444444444444,0.000111111111111111,1345
IG_185.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1292,0,737967.657708333,37687.5,17312.2001370802,7875,0.162111111111111,0.000111111111111111,1459
IG_186.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,839,0,737967.657685185,29812.5,15946.4788732394,8437.5,0.118333333333333,0.000111111111111111,1065
IG_187.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,653,0,737967.657708333,20531.25,15073.1649937265,10687.5,0.0885555555555556,0.000111111111111111,797
IG_188.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,698,0,737967.657708333,16593.75,10531.426463039,9562.5,0.216444444444444,0.000111111111111111,1948
IG_189.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,842,0,737967.657708333,21093.75,13714.3681904311,4781.25,0.234555555555556,0.000111111111111111,2111
IG_19.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:00,729,0,737967.657638889,15515.625,8500.75120192308,6890.625,0.208,0.000666666666666667,312
IG_190.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,868,0,737967.657685185,26437.5,18402.03527063,10968.75,0.125222222222222,0.000111111111111111,1127
IG_191.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,746,0,737967.657685185,21937.5,17085.5574324324,11250,0.0822222222222222,0.000111111111111111,740
IG_192.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,958,0,737967.657685185,20812.5,11972.5425696594,2531.25,0.179444444444444,0.000111111111111111,1615
IG_193.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,2768,0,737967.657708333,64687.5,32470.0891379881,10687.5,0.671555555555556,0.000111111111111111,6044
IG_194.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1305,0,737967.657708333,24187.5,15358.441410981,7312.5,0.550444444444444,0.000111111111111111,4954
IG_195.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1316,0,737967.657708333,43031.25,13370.2689873418,4218.75,0.219444444444444,0.000111111111111111,1975
IG_196.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1460,0,737967.657685185,44156.25,17995.2839176829,7875,0.437333333333333,0.000111111111111111,3936
IG_197.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1582,0,737967.657708333,44437.5,17441.6735366859,5062.5,0.404333333333333,0.000111111111111111,3639
IG_198.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1253,0,737967.657685185,30656.25,20472.8118448637,5343.75,0.477,0.000111111111111111,4293
IG_199.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1079,0,737967.657685185,46687.5,16123.9538626609,7312.5,0.129444444444444,0.000111111111111111,1165
IG_2.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:00,500,0,737967.657638889,37875,32636.9680851064,27703.125,0.0313333333333333,0.000666666666666667,47
IG_20.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:00,991,0,737967.657638889,15609.375,9924.53125,7453.125,0.4,0.000666666666666667,600
IG_200.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1297,0,737967.657685185,45562.5,27155.1229508197,12937.5,0.305,0.000111111111111111,2745
IG_21.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:00,878,0,737967.657638889,14437.5,9826.07398568019,7875,0.279333333333333,0.000666666666666667,419
IG_22.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:02,810,0,737967.657662037,28359.375,22761.148336414,18843.75,0.360666666666667,0.000666666666666667,541
IG_23.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1379,0,737967.657685185,24421.875,14828.6637931034,5718.75,0.58,0.000666666666666667,870
IG_24.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,569,0,737967.657685185,4453.125,4225.38555194805,3281.25,0.513333333333333,0.000666666666666667,770
IG_25.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:02,629,0,737967.657662037,17859.375,14819.0835674157,12984.375,0.118666666666667,0.000666666666666667,178
IG_26.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,771,0,737967.657685185,11531.25,8804.23785971223,7171.875,0.185333333333333,0.000666666666666667,278
IG_27.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:02,766,0,737967.657662037,25781.25,24270.7541793313,23203.125,0.658,0.000666666666666667,987
IG_28.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:00,865,0,737967.657638889,14296.875,8903.38659502262,7546.875,0.294666666666667,0.000666666666666667,442
IG_29.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:00,993,0,737967.657638889,26671.875,15639.7058823529,8437.5,0.192666666666667,0.000666666666666667,289
IG_3.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:00,654,0,737967.657638889,15375,11564.4778481013,9656.25,0.105333333333333,0.000666666666666667,158
IG_30.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:02,1143,0,737967.657662037,29625,22431.6794755877,7781.25,0.368666666666667,0.000666666666666667,553
IG_31.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:02,730,0,737967.657662037,19640.625,14685.3227459016,10171.875,0.0813333333333333,0.000666666666666667,122
IG_32.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:02,909,0,737967.657662037,23906.25,14213.8097426471,8625,0.181333333333333,0.000666666666666667,272
IG_33.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:02,839,0,737967.657662037,18843.75,10531.2959558824,7171.875,0.226666666666667,0.000666666666666667,340
IG_34.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:02,840,0,737967.657662037,23015.625,18647.65625,15750,0.24,0.000666666666666667,360
IG_35.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:02,1482,0,737967.657662037,34781.25,12863.7373096447,6375,0.525333333333333,0.000666666666666667,788
IG_36.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:02,616,0,737967.657662037,11437.5,9760.58467741935,5343.75,0.0826666666666667,0.000666666666666667,124
IG_37.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:02,729,0,737967.657662037,30328.125,21413.1070143885,11671.875,0.0926666666666667,0.000666666666666667,139
IG_38.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:00,1261,0,737967.657638889,38718.75,17281.2868514151,9328.125,0.282666666666667,0.000666666666666667,424
IG_39.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:00,1168,0,737967.657638889,36234.375,15699.9258160237,5062.5,0.224666666666667,0.000666666666666667,337
IG_4.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:00,680,0,737967.657638889,14578.125,10529.9692622951,8343.75,0.122,0.000666666666666667,183
IG_40.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:00,891,0,737967.657638889,20812.5,13602.3689516129,8203.125,0.206666666666667,0.000666666666666667,310
IG_41.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:02,1200,0,737967.657662037,38625,20192.4175126904,10734.375,0.262666666666667,0.000666666666666667,394
IG_42.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:02,850,0,737967.657662037,19359.375,12885.3595890411,9890.625,0.243333333333333,0.000666666666666667,365
IG_43.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:02,1024,0,737967.657662037,19921.875,13351.1098866499,3140.625,0.264666666666667,0.000666666666666667,397
